bai toan	(mathematical) problem
bai tran	Defeated in war
bai tri	"To dispose, to arrange, to decorate"
bai trieu	Recess (of court)
bai tru	"To abolish, to eradicate"
bai truong	Close (shut) a school (at the end of the school-year)
bai tuong	Defeated general
bai vat giao	Fetishism
bai vi	Ancestral tablet
bai vo	"Class materials, task"
bai vong	(cu) Bow one's repect to (a king) from a distance
bai vong	Defeated and wiped out
bai xich	"To boycott, to ostracise"
bai xuat	"To excrete, to eliminate"
bai yet	Respect-paying audience
bam	"To hang on to, to stick fast to"
bam	Thirty
bam	To chop up (into very small bits)
bam	to bite (one's lips)
bam	(cu) Mama
bam	To refer (to higher level)
bam	Plentiful
bam	"Press, touch, feel"
bam	(noi ve cay hoac bo phan cua cay). Fat and sappy
bam bao	To report and refer to higher level
bam bung	"To endure silently, to suppress"
bam chat	"Nature, inborn trait"
bam chuong	to ring the bell
bam don	To predict by thumbing one's phalanges
bam gan	To suppress one's anger silently
bam gio	To time
bam ngon	Pinch off buds (shoot) of
bam nut	Press the button
bam riet	To tread on
bam sinh	"Innate, inborn"
bam tinh	disposition; innate character
bam tru	Hold on to (a military position)
bam vam	To chop up
bam vam	to chop up
bam vien	Thit bam vien + Patties of minced meat
ban	Time
ban	Table
ban	Mountain village
ban	To sell
ban	"Friend, fellow, comrade"
ban	Testy
ban	"To fire, to shoot, to let off"
ban	Cork
ban	"Dirty, mean"
ban	Hard pressed
ban	Time
ban an	Nhu ban on
ban an	Dining-table
ban an	"judgment, sentence"
ban bac	"To discuss, to deliberate, to consult, to exchange views on"
ban bach	Very poor; in reduced circumstances
ban bat	Tremulous
ban be	(cung noi) be ban Friends
ban binh nguyen	(dia ly) Peneplain
ban biu	adj & veb
ban bo	To promulgate
ban bo	quan ban bo The army under our (this general's) command
ban buon	Sell wholesale
ban cai	"To argue, to debate"
ban cao trang	charge sheet
ban cap	(y hoc) Subacute
ban cau	Hemisphere
ban chac	"To sell, to trade"
ban chai	Brush
ban chan	Foot
ban chat	"Essence, substance, nature"
ban chat	to be in want
ban chieu	Afternoon; in the afternoon
ban chinh thuc	Semi-official
ban chiu	To sell on credit
ban chong	Spike-board
